university,code,name,year,sequence,outcome,category,bloom_level
UOW,ACCY111,500,2026,,,,
UOW,ACCY112,500,2026,,,,
UOW,ACCY200,500,2026,,,,
UOW,ACCY201,500,2026,,,,
UOW,ACCY202,Handbook,2026,,,,
UOW,ACCY301,Handbook,2026,,,,
UOW,ACCY302,Handbook,2026,,,,
UOW,ACCY303,Handbook,2026,,,,
UOW,ACCY304,Handbook,2026,,,,
UOW,ACCY305,500,2026,,,,
UOW,ACCY801,500,2026,,,,
UOW,ACCY802,Handbook,2026,,,,
UOW,ACCY803,Handbook,2026,,,,
UOW,ACCY804,Handbook,2026,,,,
UOW,ACCY901,500,2026,,,,
UOW,ARTV101,Handbook,2026,,,,
UOW,ARTV102,Handbook,2026,,,,
UOW,ARTV103,Handbook,2026,,,,
UOW,ARTV201,Handbook,2026,,,,
UOW,ARTV202,Handbook,2026,,,,
